time_at_liberty,n_oc_edm,duration_edm,dist_edm,n_oc_res,duration_res,dist_res,n_oc_elm,duration_elm,dist_elm
467,0,0,0,3,155,6,2,1,0
72,2,5,204,1,56,36,1,7,21.9
315,3,15,317,1,36,17,3,78,55.9
57,0,0,0,1,54,1,1,3,14.8
169,1,15,76,1,155,83,0,0,0
98,2,9,162,1,80,41,0,0,0
221,2,7,101,2,28,6,2,76,20.7
40,0,0,0,1,22,5,2,9,18.6
387,1,21,213,1,366,56,0,0,0
378,2,12,105,4,88,9,4,1,15.9
280,1,22,239,3,82,20,1,14,11.7
276,3,23,220,4,51,42,2,3.5,28.7
62,0,0,0,1,59,60,1,3,6.9
280,1,9,229,3,26,7,5,39,59.2